,State_abb,youth_pov_prop_est,unemployment,prop_health_insurance,prop_educ_bach,elem_size,second_size,salary,prop_latino_youth_pov,prop_asian_youth_pov,prop_black_youth_pov,prop_american_indian_youth_pov,prop_white_youth_pov,prop_other_youth_pov,violent_crime_per_100K,homicide_per_100K,raped_revised_per_100K,robbery_per_100K,aggravated_assault_per_100K,property_crime_per_100K,burgulary_per_100K,larceny_per_100K,motor_vehicle_theft_per_100K,percent_latino_youth_pov,percent_black_youth_pov,cpi
24,MS,27.6,174541.6829,85.37451828,21.6619501,21.577,22.823,42925,NA,NA,0.42,NA,0.13,NA,256.2496174,6.355231342,22.0091696,83.35387634,144.5313402,2768.338773,750.8873074,1872.050462,145.4010034,NA,42,1.02138662
25,MO,17,287255.8797,88.42526315,29.22504785,20.177,26.781,48293,0.22,0.2,0.38,NA,0.14,0.23,531.2172389,9.805828231,44.80559577,104.1480454,372.4577695,2838.287978,492.5177765,2019.378543,326.3916582,22,38,1.02138662
26,MT,15.4,43092.4871,86.31038665,30.64359426,18.948,21.662,51422,0.22,NA,NA,NA,0.11,NA,373.8521874,3.893304466,60.67857448,22.22032305,287.0599854,2591.801271,344.0351727,2001.063537,246.702561,22,NA,1.02138662
27,NE,11.5,61171.83348,90.45866775,31.97287177,17.949,23.51,52338,0.28,NA,NA,NA,0.08,NA,311.80006,2.190266352,62.10969584,53.19218284,194.3079149,2287.055265,339.6477322,1672.111912,275.2956208,28,NA,1.02138662
28,NV,17.6,168844.0256,83.81789787,22.98672588,25.261,34.485,57376,0.22,0.13,0.41,NA,0.09,0.15,560.5898254,8.94898239,63.78673162,162.8647509,324.9893605,2634.903386,674.5043155,1529.367633,431.0314375,22,41,1.02138662
29,NH,8.1,38076.52679,91.56151968,36.84703265,20.425,21.699,57253,NA,NA,NA,NA,0.09,0.07,195.7374865,0.963129192,45.85976691,32.67230566,116.2422848,1374.31127,189.2178428,1117.748471,67.34495657,NA,NA,1.02138662
30,NJ,12.2,449516.5855,89.32072568,40.04108587,18.536,23.925,69623,0.23,0.05,0.26,NA,0.07,0.14,231.8040201,3.645141842,16.93190886,88.82220629,122.4047631,1576.028827,268.7842091,1170.32679,136.9178278,23,26,1.02138662
31,NM,23.5,139960.9153,85.63363193,25.67301859,19.832,23.688,47500,0.3,NA,NA,0.42,0.13,NA,778.6394828,6.878778253,59.42500102,178.275003,534.0607004,3910.633206,853.732812,2497.569737,559.3306567,30,NA,1.02138662
32,NY,18.2,956756.7769,91.39617717,36.76117469,20.696,25.068,79637,0.28,0.17,0.31,NA,0.13,0.21,361.1199773,2.807451835,32.14277128,102.7119015,223.4578527,1497.596898,178.2885049,1251.066896,68.24149742,28,31,1.02138662
33,NC,19.3,519825.3294,86.7804319,30.4834491,18.841,25.757,49837,0.37,0.16,0.32,NA,0.11,0.25,370.3995794,6.056003427,18.92744479,96.23398372,249.1821474,2584.83273,635.2669704,1792.645169,156.9205904,37,32,1.02138662
